iter	Logloss
0	0.6703684026
1	0.6486658491
2	0.6282413292
3	0.6093952731
4	0.5916459808
5	0.5749149146
6	0.5592829728
7	0.5445690792
8	0.5305898085
9	0.5177070446
10	0.5053261487
11	0.4939389329
12	0.4832644321
13	0.4730045757
14	0.4634828115
15	0.4547109299
16	0.4464555066
17	0.4386876564
18	0.4311497995
19	0.4243118107
20	0.4179072903
21	0.4118198839
22	0.4054604747
23	0.4001664811
24	0.3948078372
25	0.3895393486
26	0.3846054603
27	0.3800994014
28	0.3756168371
29	0.3714857965
30	0.3676028556
31	0.363930742
32	0.3605047985
33	0.3573141357
34	0.354304818
35	0.3514870606
36	0.3489701906
37	0.3465649078
38	0.3443349241
39	0.3422326616
40	0.3401031292
41	0.3382255746
42	0.3364414479
43	0.3347999479
44	0.3329804193
45	0.3313899097
46	0.3299822247
47	0.3286623629
48	0.3275248152
49	0.326459689
50	0.3252257502
51	0.3241581042
52	0.3231585333
53	0.3220165634
54	0.3209543028
55	0.3199102312
56	0.3191512233
57	0.3182335152
58	0.3175651661
59	0.3168985121
60	0.3162466866
61	0.3153163647
62	0.3148223944
63	0.3140790898
64	0.3134562438
65	0.3129798655
66	0.3124285936
67	0.3120590982
68	0.3113991747
69	0.3110703492
70	0.3107582111
71	0.3102771132
72	0.309899357
73	0.3094662691
74	0.3092189421
75	0.3089339815
76	0.3085501388
77	0.3080797871
78	0.3077079063
79	0.3073540501
80	0.3071413601
81	0.3069711217
82	0.3065382427
83	0.3062414329
84	0.3059506341
85	0.3056408276
86	0.3054856593
87	0.3051551247
88	0.3048058139
89	0.3046379952
90	0.3043965913
91	0.3042418679
92	0.3041189074
93	0.3038643776
94	0.3036511226
95	0.3034527934
96	0.3033339736
97	0.3031175917
98	0.3030406917
99	0.3029727536
100	0.3028285949
101	0.3027758149
102	0.3025930038
103	0.3024541577
104	0.3023729067
105	0.302219871
106	0.302097411
107	0.3019647172
108	0.301824965
109	0.3016723316
110	0.301560392
111	0.3014357767
112	0.3012858028
113	0.3012047427
114	0.3010817974
115	0.3009275368
116	0.3008335871
117	0.3008126008
118	0.3006643836
119	0.3005205372
120	0.3004608921
121	0.3003570012
122	0.3002487867
123	0.3002276826
124	0.3001789345
125	0.3001174686
126	0.3000837026
127	0.2999164067
128	0.2997309394
129	0.2996846099
130	0.2995750906
131	0.2994950361
132	0.2994198236
133	0.2993302363
134	0.2992577684
135	0.299155458
136	0.2991155749
137	0.2990654454
138	0.2989767996
139	0.2988999483
140	0.2988557667
141	0.2987509568
142	0.2986631802
143	0.2986385984
144	0.298569214
145	0.2984935226
146	0.2983714089
147	0.2983422037
148	0.2982499176
149	0.2982296853
150	0.2981674873
151	0.2980997641
152	0.2979692491
153	0.2979134312
154	0.2978911196
155	0.29774391
156	0.2976684066
157	0.2976220255
158	0.297620296
159	0.2975312294
160	0.2974716921
161	0.2973469637
162	0.2973012071
163	0.2972716343
164	0.2971949965
165	0.2971576991
166	0.2970967412
167	0.297013229
168	0.2969798198
169	0.2969405683
170	0.2969129859
171	0.296858844
172	0.2967908818
173	0.2967856995
174	0.2967664285
175	0.2967221503
176	0.2966745912
177	0.2965955782
178	0.2965429136
179	0.2965228328
180	0.2964725046
181	0.2964486988
182	0.296402432
183	0.2963918396
